mode: set
codeagent-wrapper/backend.go:14.35,14.53 1 1
codeagent-wrapper/backend.go:15.38,17.2 1 1
codeagent-wrapper/backend.go:18.71,20.2 1 1
codeagent-wrapper/backend.go:24.36,24.55 1 1
codeagent-wrapper/backend.go:25.39,27.2 1 1
codeagent-wrapper/backend.go:28.72,29.16 1 1
codeagent-wrapper/backend.go:29.16,31.3 1 1
codeagent-wrapper/backend.go:33.2,33.26 1 1
codeagent-wrapper/backend.go:33.26,41.3 1 1
codeagent-wrapper/backend.go:43.2,47.56 2 1
codeagent-wrapper/backend.go:47.56,49.3 1 1
codeagent-wrapper/backend.go:50.2,50.32 1 1
codeagent-wrapper/backend.go:55.36,55.55 1 1
codeagent-wrapper/backend.go:56.39,58.2 1 1
codeagent-wrapper/backend.go:59.72,60.40 1 1
codeagent-wrapper/backend.go:60.40,62.3 1 1
codeagent-wrapper/backend.go:63.2,63.28 1 1
codeagent-wrapper/logger.go:37.35,39.2 1 1
codeagent-wrapper/logger.go:43.58,45.18 2 1
codeagent-wrapper/logger.go:45.18,47.3 1 1
codeagent-wrapper/logger.go:48.2,53.16 4 1
codeagent-wrapper/logger.go:53.16,55.3 1 0
codeagent-wrapper/logger.go:57.2,69.15 4 1
codeagent-wrapper/logger.go:73.32,74.14 1 1
codeagent-wrapper/logger.go:74.14,76.3 1 1
codeagent-wrapper/logger.go:77.2,77.15 1 1
codeagent-wrapper/logger.go:81.35,81.57 1 1
codeagent-wrapper/logger.go:84.35,84.57 1 1
codeagent-wrapper/logger.go:87.36,87.59 1 1
codeagent-wrapper/logger.go:90.36,90.59 1 1
codeagent-wrapper/logger.go:96.32,97.14 1 1
codeagent-wrapper/logger.go:97.14,99.3 1 0
codeagent-wrapper/logger.go:101.2,103.24 2 1
codeagent-wrapper/logger.go:103.24,110.13 5 1
codeagent-wrapper/logger.go:110.13,113.4 2 1
codeagent-wrapper/logger.go:115.3,115.10 1 1
codeagent-wrapper/logger.go:116.21,116.21 0 1
codeagent-wrapper/logger.go:118.38,120.63 1 0
codeagent-wrapper/logger.go:123.3,123.61 1 1
codeagent-wrapper/logger.go:123.61,125.4 1 0
codeagent-wrapper/logger.go:127.3,127.58 1 1
codeagent-wrapper/logger.go:127.58,129.4 1 0
codeagent-wrapper/logger.go:131.3,131.59 1 1
codeagent-wrapper/logger.go:131.59,133.4 1 0
codeagent-wrapper/logger.go:139.2,139.17 1 1
codeagent-wrapper/logger.go:143.40,144.14 1 1
codeagent-wrapper/logger.go:144.14,146.3 1 1
codeagent-wrapper/logger.go:147.2,147.26 1 1
codeagent-wrapper/logger.go:152.26,153.14 1 1
codeagent-wrapper/logger.go:153.14,155.3 1 0
codeagent-wrapper/logger.go:158.2,159.12 2 1
codeagent-wrapper/logger.go:159.12,162.3 2 1
codeagent-wrapper/logger.go:164.2,167.9 3 1
codeagent-wrapper/logger.go:168.14,168.14 0 1
codeagent-wrapper/logger.go:170.20,172.9 1 0
codeagent-wrapper/logger.go:176.2,177.9 2 1
codeagent-wrapper/logger.go:178.31,180.10 1 1
codeagent-wrapper/logger.go:181.20,181.20 0 1
codeagent-wrapper/logger.go:183.38,183.38 0 0
codeagent-wrapper/logger.go:186.16,186.16 0 0
codeagent-wrapper/logger.go:188.37,188.37 0 0
codeagent-wrapper/logger.go:193.41,194.14 1 1
codeagent-wrapper/logger.go:194.14,196.3 1 0
codeagent-wrapper/logger.go:197.2,197.21 1 1
codeagent-wrapper/logger.go:197.21,199.3 1 1
codeagent-wrapper/logger.go:201.2,204.9 3 1
codeagent-wrapper/logger.go:205.21,205.21 0 1
codeagent-wrapper/logger.go:207.16,210.9 2 1
codeagent-wrapper/logger.go:214.24,220.6 4 1
codeagent-wrapper/logger.go:220.6,221.10 1 1
codeagent-wrapper/logger.go:222.28,223.11 1 1
codeagent-wrapper/logger.go:223.11,227.5 2 1
codeagent-wrapper/logger.go:228.4,231.22 4 1
codeagent-wrapper/logger.go:233.19,234.20 1 0
codeagent-wrapper/logger.go:236.34,240.20 3 1
codeagent-wrapper/main.go:65.50,67.15 2 1
codeagent-wrapper/main.go:67.15,69.3 1 1
codeagent-wrapper/main.go:70.2,70.45 1 1
codeagent-wrapper/main.go:70.45,72.3 1 1
codeagent-wrapper/main.go:73.2,73.56 1 1
codeagent-wrapper/main.go:101.64,103.23 2 1
codeagent-wrapper/main.go:103.23,105.3 1 0
codeagent-wrapper/main.go:107.2,111.34 4 1
codeagent-wrapper/main.go:111.34,113.22 2 1
codeagent-wrapper/main.go:113.22,114.12 1 1
codeagent-wrapper/main.go:117.3,118.22 2 1
codeagent-wrapper/main.go:118.22,120.4 1 1
codeagent-wrapper/main.go:122.3,126.50 4 1
codeagent-wrapper/main.go:126.50,128.18 2 1
codeagent-wrapper/main.go:128.18,129.13 1 1
codeagent-wrapper/main.go:131.4,132.20 2 1
codeagent-wrapper/main.go:132.20,133.13 1 0
codeagent-wrapper/main.go:135.4,138.15 3 1
codeagent-wrapper/main.go:139.14,140.20 1 1
codeagent-wrapper/main.go:141.19,142.25 1 1
codeagent-wrapper/main.go:143.22,145.25 2 0
codeagent-wrapper/main.go:146.24,147.51 1 1
codeagent-wrapper/main.go:147.51,149.19 2 1
codeagent-wrapper/main.go:149.19,151.7 1 1
codeagent-wrapper/main.go:156.3,156.20 1 1
codeagent-wrapper/main.go:156.20,158.4 1 1
codeagent-wrapper/main.go:159.3,159.20 1 1
codeagent-wrapper/main.go:159.20,161.4 1 1
codeagent-wrapper/main.go:162.3,162.41 1 1
codeagent-wrapper/main.go:162.41,164.4 1 1
codeagent-wrapper/main.go:166.3,168.29 3 1
codeagent-wrapper/main.go:171.2,171.25 1 1
codeagent-wrapper/main.go:171.25,173.3 1 0
codeagent-wrapper/main.go:175.2,175.18 1 1
codeagent-wrapper/main.go:178.62,183.29 4 1
codeagent-wrapper/main.go:183.29,186.3 2 1
codeagent-wrapper/main.go:188.2,188.29 1 1
codeagent-wrapper/main.go:188.29,189.41 1 1
codeagent-wrapper/main.go:189.41,190.35 1 1
codeagent-wrapper/main.go:190.35,192.5 1 1
codeagent-wrapper/main.go:193.4,194.40 2 1
codeagent-wrapper/main.go:198.2,199.29 2 1
codeagent-wrapper/main.go:199.29,200.29 1 1
codeagent-wrapper/main.go:200.29,202.4 1 1
codeagent-wrapper/main.go:205.2,208.21 3 1
codeagent-wrapper/main.go:208.21,212.30 4 1
codeagent-wrapper/main.go:212.30,215.4 2 1
codeagent-wrapper/main.go:216.3,219.30 3 1
codeagent-wrapper/main.go:219.30,220.37 1 1
codeagent-wrapper/main.go:220.37,222.32 2 1
codeagent-wrapper/main.go:222.32,224.6 1 1
codeagent-wrapper/main.go:227.3,227.33 1 1
codeagent-wrapper/main.go:230.2,230.29 1 1
codeagent-wrapper/main.go:230.29,232.33 2 1
codeagent-wrapper/main.go:232.33,233.15 1 1
codeagent-wrapper/main.go:233.15,235.5 1 1
codeagent-wrapper/main.go:237.3,238.92 2 1
codeagent-wrapper/main.go:241.2,241.20 1 1
codeagent-wrapper/main.go:244.66,245.24 1 0
codeagent-wrapper/main.go:245.24,247.3 1 0
codeagent-wrapper/main.go:248.2,248.21 1 0
codeagent-wrapper/main.go:248.21,250.3 1 0
codeagent-wrapper/main.go:251.2,251.55 1 0
codeagent-wrapper/main.go:251.55,253.3 1 0
codeagent-wrapper/main.go:255.2,255.42 1 0
codeagent-wrapper/main.go:258.71,260.31 2 1
codeagent-wrapper/main.go:260.31,262.3 1 1
codeagent-wrapper/main.go:264.2,268.31 4 1
codeagent-wrapper/main.go:268.31,272.30 3 1
codeagent-wrapper/main.go:272.30,273.58 1 1
codeagent-wrapper/main.go:273.58,277.13 4 1
codeagent-wrapper/main.go:280.4,282.25 3 1
codeagent-wrapper/main.go:282.25,284.18 2 1
codeagent-wrapper/main.go:284.18,285.34 1 1
codeagent-wrapper/main.go:285.34,287.7 1 1
codeagent-wrapper/main.go:289.5,289.45 1 1
codeagent-wrapper/main.go:293.3,295.33 2 1
codeagent-wrapper/main.go:295.33,298.44 3 1
codeagent-wrapper/main.go:298.44,300.5 1 1
codeagent-wrapper/main.go:304.2,304.16 1 1
codeagent-wrapper/main.go:307.81,308.33 1 1
codeagent-wrapper/main.go:308.33,310.3 1 1
codeagent-wrapper/main.go:312.2,313.40 2 1
codeagent-wrapper/main.go:313.40,314.31 1 1
codeagent-wrapper/main.go:314.31,316.4 1 1
codeagent-wrapper/main.go:319.2,319.23 1 1
codeagent-wrapper/main.go:319.23,321.3 1 1
codeagent-wrapper/main.go:323.2,323.96 1 1
codeagent-wrapper/main.go:326.55,331.30 4 1
codeagent-wrapper/main.go:331.30,332.43 1 1
codeagent-wrapper/main.go:332.43,334.4 1 1
codeagent-wrapper/main.go:334.9,336.4 1 1
codeagent-wrapper/main.go:339.2,342.30 3 1
codeagent-wrapper/main.go:342.30,344.22 2 1
codeagent-wrapper/main.go:344.22,346.4 1 1
codeagent-wrapper/main.go:346.9,346.31 1 1
codeagent-wrapper/main.go:346.31,348.4 1 0
codeagent-wrapper/main.go:348.9,350.4 1 1
codeagent-wrapper/main.go:351.3,351.26 1 1
codeagent-wrapper/main.go:351.26,353.4 1 0
codeagent-wrapper/main.go:354.3,354.24 1 1
codeagent-wrapper/main.go:354.24,356.4 1 1
codeagent-wrapper/main.go:357.3,357.23 1 1
codeagent-wrapper/main.go:360.2,360.20 1 1
codeagent-wrapper/main.go:376.13,379.2 2 0
codeagent-wrapper/main.go:382.27,384.22 1 1
codeagent-wrapper/main.go:384.22,385.21 1 1
codeagent-wrapper/main.go:386.26,388.12 2 1
codeagent-wrapper/main.go:389.23,391.12 2 1
codeagent-wrapper/main.go:396.2,397.16 2 1
codeagent-wrapper/main.go:397.16,400.3 2 0
codeagent-wrapper/main.go:401.2,403.15 2 1
codeagent-wrapper/main.go:403.15,405.20 2 1
codeagent-wrapper/main.go:405.20,407.4 1 1
codeagent-wrapper/main.go:408.3,408.39 1 1
codeagent-wrapper/main.go:408.39,410.4 1 0
codeagent-wrapper/main.go:412.3,412.20 1 1
codeagent-wrapper/main.go:412.20,413.72 1 1
codeagent-wrapper/main.go:413.73,415.5 0 0
codeagent-wrapper/main.go:418.2,421.22 2 1
codeagent-wrapper/main.go:421.22,422.21 1 1
codeagent-wrapper/main.go:423.21,424.24 1 1
codeagent-wrapper/main.go:424.24,431.5 6 0
codeagent-wrapper/main.go:432.4,433.18 2 1
codeagent-wrapper/main.go:433.18,436.5 2 0
codeagent-wrapper/main.go:438.4,439.18 2 1
codeagent-wrapper/main.go:439.18,442.5 2 0
codeagent-wrapper/main.go:444.4,446.18 3 1
codeagent-wrapper/main.go:446.18,449.5 2 1
codeagent-wrapper/main.go:451.4,455.32 4 1
codeagent-wrapper/main.go:455.32,456.26 1 1
codeagent-wrapper/main.go:456.26,458.6 1 1
codeagent-wrapper/main.go:461.4,461.19 1 1
codeagent-wrapper/main.go:465.2,468.16 3 1
codeagent-wrapper/main.go:468.16,471.3 2 1
codeagent-wrapper/main.go:472.2,475.16 3 1
codeagent-wrapper/main.go:475.16,478.3 2 1
codeagent-wrapper/main.go:480.2,492.23 10 1
codeagent-wrapper/main.go:492.23,495.17 3 1
codeagent-wrapper/main.go:495.17,498.4 2 1
codeagent-wrapper/main.go:499.3,500.21 2 1
codeagent-wrapper/main.go:500.21,503.4 2 1
codeagent-wrapper/main.go:504.3,504.24 1 1
codeagent-wrapper/main.go:505.8,507.17 2 1
codeagent-wrapper/main.go:507.17,510.4 2 1
codeagent-wrapper/main.go:511.3,512.12 2 1
codeagent-wrapper/main.go:512.12,514.4 1 1
codeagent-wrapper/main.go:514.9,516.4 1 1
codeagent-wrapper/main.go:519.2,522.14 3 1
codeagent-wrapper/main.go:522.14,524.3 1 1
codeagent-wrapper/main.go:525.2,534.14 7 1
codeagent-wrapper/main.go:534.14,536.12 2 1
codeagent-wrapper/main.go:536.12,538.4 1 1
codeagent-wrapper/main.go:539.3,539.24 1 1
codeagent-wrapper/main.go:539.24,541.4 1 1
codeagent-wrapper/main.go:542.3,542.39 1 1
codeagent-wrapper/main.go:542.39,544.4 1 1
codeagent-wrapper/main.go:545.3,545.39 1 1
codeagent-wrapper/main.go:545.39,547.4 1 0
codeagent-wrapper/main.go:548.3,548.39 1 1
